"","country","power_index","active_personnel","aircraft_carriers","armored_vehicles","attack_helicopters","available_manpower","coastline_coverage","corvettes","dedicated_attack","defense_budget","destroyers","external_debt","fighters_interceptors","fit_for_service","foreign_exchange_gold","frigates","helicopter_carriers","helicopters","labor_force","merchant_marine_fleet","mine_warfare","navy_ships","oil_consumption","oil_production","oil_proven_reserves","paramilitary","patrol_vessels","ports___trade_terminals","purchasing_power_parity","railway_coverage","reaching_mil_age_annually","reserve_personnel","roadway_coverage","rocket_projectors","self_propelled_artillery","shared_borders","special_mission","square_land_area","submarines","tanker_fleet","tanks","total_aircraft_strength","total_population","towed_artillery","trainers","transports","waterways__usable_"
"69","Liberia",8.5213,2000,0,50,0,2294173,579,0,0,11800000,0,8.26e+08,0,1835339,459800000,0,0,0,1677000,3492,0,6,8000,0,0,0,0,2,6.5e+09,429,62568,0,10600,0,0,1667,0,111369,0,0,0,0,5214030,0,0,0,0
"70","Libya",1.3265,30000,0,2275,7,3648956,1770,1,2,3.475e+09,0,3.02e+09,127,3136699,7.471e+10,1,0,32,1114000,94,2,7,260000,1040000,4.836e+10,0,1,5,6.865e+10,2000,119293,0,37000,450,183,4339,0,1759540,0,0,100,127,7017224,125,65,8,0
"71","Lithuania",1.7083,16000,0,572,0,1762518,90,0,0,1145745000,0,3.7859e+10,10,1374764,4.45e+09,0,0,5,1333000,64,4,11,58000,2000,1.2e+07,11000,4,3,1e+11,1768,37962,15000,84166,0,21,1545,0,65300,0,0,0,10,2711566,54,0,5,441
"72","Madagascar",4.4351,13000,0,109,0,10463055,4828,0,0,109760000,0,3.085e+09,5,7434276,1.6e+09,0,0,5,13400000,27,0,8,18000,0,0,10000,9,4,4e+10,836,523153,0,31640,0,0,0,0,587040,0,0,12,5,27534354,17,0,0,600
"73","Malaysia",0.7091,115000,0,1708,0,15754121,4675,6,12,3792819200,0,2.24596e+11,144,13072568,1.024e+11,3,0,41,15139000,1769,4,82,704000,645000,3.6e+09,100000,29,9,8.556e+11,1851,536310,52000,144403,54,0,2742,4,329847,2,4,48,144,33519406,196,39,18,7200
"74","Mali",2.3829,18000,0,264,7,6242633,0,0,0,591260000,0,4.192e+09,29,3926818,647800000,0,0,9,6447000,0,0,0,22000,0,0,2000,0,1,4.4e+10,593,322200,0,139107,32,0,7908,1,1240192,0,0,80,29,20137527,50,4,6,0
"75","Mauritania",4.3067,16000,0,100,0,1590921,754,0,4,194475000,0,4.15e+09,25,1113645,8.75e+08,0,0,4,1437000,5,0,5,17000,4000,2e+07,5000,3,2,2.3e+10,728,77506,0,12253,0,0,5002,2,1030700,0,0,30,25,4079284,100,9,6,0
"76","Mexico",0.6423,250000,0,3435,0,61197464,9330,7,33,6.456e+09,0,4.56713e+11,469,49609008,1.753e+11,5,0,159,50914000,671,0,154,1984000,1855000,6.63e+09,100000,126,14,2.30632e+12,20825,2213525,65000,398148,0,0,4389,25,1964375,0,0,0,469,130207371,200,204,45,2900
"77","Moldova",2.5799,6000,0,381,0,1994325,0,0,0,47640000,0,7.232e+09,3,1655290,2.803e+09,0,0,2,1295000,147,0,0,18000,0,0,1000,0,0,3.226e+10,1171,66478,12000,9352,25,9,1885,0,33851,0,0,10,3,3323875,69,0,1,558
"78","Mongolia",2.4318,9000,0,770,0,1823380,0,0,0,91980000,0,2.9945e+10,11,1513086,3.016e+09,0,0,6,1241000,302,0,0,27000,20000,0,10000,0,0,3.76e+10,1815,60779,50000,113200,130,0,8082,0,1564116,0,0,470,11,3198913,300,2,3,580
